,Bull,Bear,Crisis
Bull,0.9940859240206338,0.005914075979333675,3.265710001538783e-14
Bear,0.009356092148177675,0.9842301027031113,0.0064138051487110034
Crisis,1.449654862641193e-32,0.008823347889600708,0.9911766521103993
