Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,Avg Turnover/Rebalance
Regime-Adaptive (gross),0.062367573122400266,0.05877266604652366,1.058877236379876,1.4746262576443072,-0.06557063982827904,0.9511509005514177,0.03154219578013733
Regime-Adaptive (net of costs),0.055111655781907354,0.058760674472182715,0.942423901699185,1.310837730463886,-0.0681496716637936,0.8086855657029812,0.03154219578013733
Static 60/40,0.00041449449754082934,0.12346383292886176,0.06508856313416321,0.08885014970719636,-0.2571755018020466,0.001611718435995799,
Equal-Weight,0.05026883927982917,0.09019333589709284,0.5888821792297267,0.7939549948569719,-0.14412121603938743,0.34879555322438444,
