,regime
2014-06-06,Crisis
2014-06-09,Crisis
2014-06-10,Crisis
2014-06-11,Bear
2014-06-12,Bear
2014-06-13,Bear
2014-06-16,Bear
2014-06-17,Bear
2014-06-18,Bear
2014-06-19,Bear
2014-06-20,Bear
2014-06-23,Bear
2014-06-24,Bear
2014-06-25,Bear
2014-06-26,Bear
2014-06-27,Bear
2014-06-30,Bear
2014-07-01,Bear
2014-07-02,Bear
2014-07-03,Bear
2014-07-04,Bear
2014-07-07,Bear
2014-07-08,Bear
2014-07-09,Bear
2014-07-10,Bear
2014-07-11,Bear
2014-07-14,Bear
2014-07-15,Bear
2014-07-16,Bear
2014-07-17,Bear
2014-07-18,Bear
2014-07-21,Bear
2014-07-22,Bear
2014-07-23,Bear
2014-07-24,Bear
2014-07-25,Bear
2014-07-28,Bear
2014-07-29,Bear
2014-07-30,Bear
2014-07-31,Bear
2014-08-01,Bear
2014-08-04,Bear
2014-08-05,Bear
2014-08-06,Bear
2014-08-07,Bear
2014-08-08,Bear
2014-08-11,Bear
2014-08-12,Bear
2014-08-13,Bear
2014-08-14,Bear
2014-08-15,Bear
2014-08-18,Bear
2014-08-19,Bear
2014-08-20,Bear
2014-08-21,Bear
2014-08-22,Bear
2014-08-25,Bear
2014-08-26,Bear
2014-08-27,Bear
2014-08-28,Bear
2014-08-29,Bear
2014-09-01,Bear
2014-09-02,Bear
2014-09-03,Bear
2014-09-04,Bear
2014-09-05,Bear
2014-09-08,Bear
2014-09-09,Bear
2014-09-10,Bear
2014-09-11,Bear
2014-09-12,Bear
2014-09-15,Bear
2014-09-16,Bear
2014-09-17,Bear
2014-09-18,Bear
2014-09-19,Bear
2014-09-22,Bear
2014-09-23,Bear
2014-09-24,Bear
2014-09-25,Bear
2014-09-26,Bear
2014-09-29,Bear
2014-09-30,Bear
2014-10-01,Bear
2014-10-02,Bear
2014-10-03,Bear
2014-10-06,Bear
2014-10-07,Bear
2014-10-08,Bear
2014-10-09,Bear
2014-10-10,Bear
2014-10-13,Bear
2014-10-14,Bear
2014-10-15,Bear
2014-10-16,Bear
2014-10-17,Bear
2014-10-20,Bear
2014-10-21,Bear
2014-10-22,Bear
2014-10-23,Bear
2014-10-24,Bear
2014-10-27,Bear
2014-10-28,Bear
2014-10-29,Bear
2014-10-30,Bear
2014-10-31,Bear
2014-11-03,Bear
2014-11-04,Bear
2014-11-05,Bear
2014-11-06,Bear
2014-11-07,Bear
2014-11-10,Bear
2014-11-11,Bear
2014-11-12,Bear
2014-11-13,Bear
2014-11-14,Bear
2014-11-17,Bear
2014-11-18,Bear
2014-11-19,Bear
2014-11-20,Bear
2014-11-21,Bear
2014-11-24,Bear
2014-11-25,Bear
2014-11-26,Bear
2014-11-27,Bear
2014-11-28,Bear
2014-12-01,Bear
2014-12-02,Bear
2014-12-03,Bear
2014-12-04,Bear
2014-12-05,Bear
2014-12-08,Bear
2014-12-09,Bear
2014-12-10,Bear
2014-12-11,Bear
2014-12-12,Bear
2014-12-15,Bear
2014-12-16,Bear
2014-12-17,Bear
2014-12-18,Bull
2014-12-19,Bull
2014-12-22,Bull
2014-12-23,Bull
2014-12-24,Bull
2014-12-25,Bull
2014-12-26,Bull
2014-12-29,Bull
2014-12-30,Bull
2014-12-31,Bull
2015-01-01,Bull
2015-01-02,Bull
2015-01-05,Bull
2015-01-06,Bull
2015-01-07,Bull
2015-01-08,Bull
2015-01-09,Bull
2015-01-12,Bull
2015-01-13,Bull
2015-01-14,Bull
2015-01-15,Bull
2015-01-16,Bull
2015-01-19,Bull
2015-01-20,Bull
2015-01-21,Bull
2015-01-22,Bull
2015-01-23,Bull
2015-01-26,Bull
2015-01-27,Bull
2015-01-28,Bull
2015-01-29,Bull
2015-01-30,Bull
2015-02-02,Bull
2015-02-03,Bull
2015-02-04,Bull
2015-02-05,Bull
2015-02-06,Bull
2015-02-09,Bull
2015-02-10,Bull
2015-02-11,Bull
2015-02-12,Bull
2015-02-13,Bull
2015-02-16,Bull
2015-02-17,Bull
2015-02-18,Bull
2015-02-19,Bull
2015-02-20,Bull
2015-02-23,Bull
2015-02-24,Bull
2015-02-25,Bull
2015-02-26,Bull
2015-02-27,Bull
2015-03-02,Bull
2015-03-03,Bull
2015-03-04,Bull
2015-03-05,Bull
2015-03-06,Bull
2015-03-09,Bull
2015-03-10,Bull
2015-03-11,Bull
2015-03-12,Bull
2015-03-13,Bull
2015-03-16,Bull
2015-03-17,Bull
2015-03-18,Bull
2015-03-19,Bull
2015-03-20,Bull
2015-03-23,Bull
2015-03-24,Bull
2015-03-25,Bull
2015-03-26,Bull
2015-03-27,Bull
2015-03-30,Bull
2015-03-31,Bull
2015-04-01,Bull
2015-04-02,Bull
2015-04-03,Bull
2015-04-06,Bull
2015-04-07,Bull
2015-04-08,Bull
2015-04-09,Bull
2015-04-10,Bull
2015-04-13,Bull
2015-04-14,Bull
2015-04-15,Bull
2015-04-16,Bull
2015-04-17,Bull
2015-04-20,Bull
2015-04-21,Bull
2015-04-22,Bull
2015-04-23,Bull
2015-04-24,Bull
2015-04-27,Bull
2015-04-28,Bull
2015-04-29,Bull
2015-04-30,Bull
2015-05-01,Bull
2015-05-04,Bull
2015-05-05,Bull
2015-05-06,Bull
2015-05-07,Bull
2015-05-08,Bull
2015-05-11,Bull
2015-05-12,Bull
2015-05-13,Bull
2015-05-14,Bull
2015-05-15,Bull
2015-05-18,Bull
2015-05-19,Bull
2015-05-20,Bull
2015-05-21,Bull
2015-05-22,Bull
2015-05-25,Bull
2015-05-26,Bull
2015-05-27,Bull
2015-05-28,Bull
2015-05-29,Bull
2015-06-01,Bull
2015-06-02,Bull
2015-06-03,Bull
2015-06-04,Bull
2015-06-05,Bull
2015-06-08,Bull
2015-06-09,Bull
2015-06-10,Bull
2015-06-11,Bull
2015-06-12,Bull
2015-06-15,Bull
2015-06-16,Bull
2015-06-17,Bull
2015-06-18,Bull
2015-06-19,Bull
2015-06-22,Bull
2015-06-23,Bull
2015-06-24,Bull
2015-06-25,Bull
2015-06-26,Bull
2015-06-29,Bull
2015-06-30,Bull
2015-07-01,Bull
2015-07-02,Bull
2015-07-03,Bull
2015-07-06,Bull
2015-07-07,Bull
2015-07-08,Bull
2015-07-09,Bull
2015-07-10,Bull
2015-07-13,Bull
2015-07-14,Bull
2015-07-15,Bull
2015-07-16,Bull
2015-07-17,Bull
2015-07-20,Bull
2015-07-21,Bull
2015-07-22,Bull
2015-07-23,Bull
2015-07-24,Bull
2015-07-27,Bull
2015-07-28,Bull
2015-07-29,Bull
2015-07-30,Bull
2015-07-31,Bull
2015-08-03,Bull
2015-08-04,Bull
2015-08-05,Bull
2015-08-06,Bull
2015-08-07,Bull
2015-08-10,Bull
2015-08-11,Bull
2015-08-12,Bull
2015-08-13,Bull
2015-08-14,Bull
2015-08-17,Bull
2015-08-18,Bull
2015-08-19,Bull
2015-08-20,Bull
2015-08-21,Bull
2015-08-24,Bull
2015-08-25,Bull
2015-08-26,Bull
2015-08-27,Bull
2015-08-28,Bull
2015-08-31,Bull
2015-09-01,Bull
2015-09-02,Bull
2015-09-03,Bull
2015-09-04,Bull
2015-09-07,Bull
2015-09-08,Bull
2015-09-09,Bull
2015-09-10,Bull
2015-09-11,Bull
2015-09-14,Bull
2015-09-15,Bull
2015-09-16,Bull
2015-09-17,Bull
2015-09-18,Bull
2015-09-21,Bull
2015-09-22,Bull
2015-09-23,Bull
2015-09-24,Bull
2015-09-25,Bull
2015-09-28,Bull
2015-09-29,Bull
2015-09-30,Bull
2015-10-01,Bull
2015-10-02,Bull
2015-10-05,Bull
2015-10-06,Bull
2015-10-07,Bull
2015-10-08,Bull
2015-10-09,Bull
2015-10-12,Bull
2015-10-13,Bull
2015-10-14,Bull
2015-10-15,Bull
2015-10-16,Bull
2015-10-19,Bull
2015-10-20,Bull
2015-10-21,Bull
2015-10-22,Bull
2015-10-23,Bull
2015-10-26,Bull
2015-10-27,Bull
2015-10-28,Bull
2015-10-29,Bull
2015-10-30,Bull
2015-11-02,Bull
2015-11-03,Bull
2015-11-04,Bull
2015-11-05,Bull
2015-11-06,Bull
2015-11-09,Bull
2015-11-10,Bull
2015-11-11,Bull
2015-11-12,Bull
2015-11-13,Bull
2015-11-16,Bull
2015-11-17,Bull
2015-11-18,Bull
2015-11-19,Bull
2015-11-20,Bull
2015-11-23,Bull
2015-11-24,Bull
2015-11-25,Bull
2015-11-26,Bull
2015-11-27,Bull
2015-11-30,Bull
2015-12-01,Bull
2015-12-02,Bull
2015-12-03,Bull
2015-12-04,Bull
2015-12-07,Bull
2015-12-08,Bull
2015-12-09,Bull
2015-12-10,Bull
2015-12-11,Bull
2015-12-14,Bull
2015-12-15,Bull
2015-12-16,Bull
2015-12-17,Bull
2015-12-18,Bull
2015-12-21,Bull
2015-12-22,Bull
2015-12-23,Bull
2015-12-24,Bull
2015-12-25,Bull
2015-12-28,Bull
2015-12-29,Bull
2015-12-30,Bull
2015-12-31,Bull
2016-01-01,Bull
2016-01-04,Bull
2016-01-05,Bull
2016-01-06,Bull
2016-01-07,Bull
2016-01-08,Bull
2016-01-11,Bull
2016-01-12,Bull
2016-01-13,Bull
2016-01-14,Bull
2016-01-15,Bull
2016-01-18,Bull
2016-01-19,Bull
2016-01-20,Bull
2016-01-21,Bull
2016-01-22,Bull
2016-01-25,Bull
2016-01-26,Bull
2016-01-27,Bull
2016-01-28,Bull
2016-01-29,Bull
2016-02-01,Bull
2016-02-02,Bull
2016-02-03,Bull
2016-02-04,Bull
2016-02-05,Bull
2016-02-08,Bull
2016-02-09,Bull
2016-02-10,Bull
2016-02-11,Bull
2016-02-12,Bull
2016-02-15,Bull
2016-02-16,Bull
2016-02-17,Bull
2016-02-18,Bull
2016-02-19,Bull
2016-02-22,Bull
2016-02-23,Bull
2016-02-24,Bull
2016-02-25,Bull
2016-02-26,Bull
2016-02-29,Bull
2016-03-01,Bull
2016-03-02,Bull
2016-03-03,Bull
2016-03-04,Bull
2016-03-07,Bull
2016-03-08,Bull
2016-03-09,Bull
2016-03-10,Bull
2016-03-11,Bull
2016-03-14,Bull
2016-03-15,Bull
2016-03-16,Bull
2016-03-17,Bull
2016-03-18,Bull
2016-03-21,Bull
2016-03-22,Bull
2016-03-23,Bull
2016-03-24,Bull
2016-03-25,Bull
2016-03-28,Bull
2016-03-29,Bull
2016-03-30,Bull
2016-03-31,Bull
2016-04-01,Bull
2016-04-04,Bull
